sample_id,kind,part,part_name,item_no,duration_seconds,needs_verification,meaning_en,transcription,original_file,note
shanghainese-001,sentence,1,Basic Shanghainese vocabulary,1,4.779,False,Are you free tomorrow?,侬明朝有辰光伐？,1.m4a,
shanghainese-002,sentence,1,Basic Shanghainese vocabulary,2,4.864,False,We will go to Hangzhou together next week.,阿拉下个礼拜一道去杭州。,2.m4a,
shanghainese-003,sentence,1,Basic Shanghainese vocabulary,3,2.816,False,He or she is not coming today.,伊今朝勿来。,3.m4a,
shanghainese-004,sentence,1,Basic Shanghainese vocabulary,4,3.925,False,I have already eaten today.,我今朝已经吃过了。,4.m4a,
shanghainese-005,sentence,1,Basic Shanghainese vocabulary,5,4.267,False,Please deliver it tomorrow afternoon.,明朝下半日送过来。,5.m4a,
shanghainese-006,sentence,1,Basic Shanghainese vocabulary,6,4.608,False,Please call me at seven o'clock this evening.,夜到七点钟打电话拨我。,6.m4a,
shanghainese-007,sentence,1,Basic Shanghainese vocabulary,7,3.499,False,What time is it now?,现在啥辰光？,7.m4a,
shanghainese-008,sentence,1,Basic Shanghainese vocabulary,8,3.755,False,How should I do this?,格个哪能弄？,8.m4a,
shanghainese-009,sentence,1,Basic Shanghainese vocabulary,9,4.267,False,What do you want to buy?,侬要买啥物事？,9.m4a,
shanghainese-010,sentence,1,Basic Shanghainese vocabulary,10,3.584,False,This is not mine.,格个勿是我个。,10.m4a,
shanghainese-011,sentence,2,Negation and opposite meanings,11,3.669,False,Do not add sugar.,勿要加糖。,11.m4a,
shanghainese-012,sentence,2,Negation and opposite meanings,12,3.84,False,I want a non-spicy one.,我要勿辣个。,12.m4a,
shanghainese-013,sentence,2,Negation and opposite meanings,13,3.584,False,I have never eaten it before.,我勿曾吃过。,13.m4a,
shanghainese-014,sentence,2,Negation and opposite meanings,14,2.987,True,There is nobody at home.,屋里呒没人。,14.m4a,Recorder was allowed to replace this double-negative-style expression with the most natural Shanghainese sentence meaning 'There is nobody at home.'
shanghainese-015,sentence,2,Negation and opposite meanings,15,3.243,False,Do not touch this.,格个勿好碰。,15.m4a,
shanghainese-016,sentence,2,Negation and opposite meanings,16,4.011,False,Do not take this medicine anymore.,格个药勿要再吃了。,16.m4a,
shanghainese-017,sentence,2,Negation and opposite meanings,17,5.12,False,Send the document to me. Do not send it to him or her.,文件发拨我，勿要发拨伊。,17.m4a,
shanghainese-018,sentence,2,Negation and opposite meanings,18,5.035,False,Do not add sugar or milk.,糖勿要加，牛奶也勿要加。,18.m4a,
shanghainese-019,sentence,3,Actions and states,19,3.243,False,It is raining outside.,外头落雨了。,19.m4a,
shanghainese-020,sentence,3,Actions and states,20,3.243,False,I am washing clothes.,我勒浪汏衣裳。,20.m4a,
shanghainese-021,sentence,3,Actions and states,21,4.608,True,The child was hit or severely scolded by them yesterday.,小囡昨日拨伊拉吃生活了。,21.m4a,Recorder asked to use this sentence only if '吃生活' naturally has this meaning in their Shanghainese.
shanghainese-022,sentence,3,Actions and states,22,4.608,False,It is very difficult for me to climb the stairs.,我爬楼梯老吃力个。,22.m4a,
shanghainese-023,sentence,3,Actions and states,23,3.755,False,This dish is very delicious.,格个菜老好吃个。,23.m4a,
shanghainese-024,sentence,3,Actions and states,24,4.437,False,He or she may not come today.,伊今朝作兴勿来了。,24.m4a,
shanghainese-025,sentence,3,Actions and states,25,3.243,False,Wait for a little while before leaving.,等一歇歇再走。,25.m4a,
shanghainese-026,sentence,3,Actions and states,26,3.243,False,I will arrive a little late.,我迟眼到。,26.m4a,
shanghainese-027,sentence,4,"Time, schedules, and numbers",27,3.499,False,I will go next Monday.,下个礼拜一去。,27.m4a,
shanghainese-028,sentence,4,"Time, schedules, and numbers",28,4.096,False,We will have a meeting at two o'clock in the afternoon.,下半日两点钟开会。,28.m4a,
shanghainese-029,sentence,4,"Time, schedules, and numbers",29,6.059,False,Pick up the child at three o'clock in the afternoon. Do not forget.,下半日三点去接小囡，勿要忘记。,29.m4a,
shanghainese-030,sentence,4,"Time, schedules, and numbers",30,7.168,True,"Call me at seven o'clock this evening, not seven o'clock tomorrow morning.",夜到七点钟打拨我，勿是明朝朝晨七点钟。,30.m4a,Recorder allowed to adjust the expression for 'tomorrow morning' if another expression is more natural in Shanghainese.
shanghainese-031,sentence,4,"Time, schedules, and numbers",31,6.315,False,"I will come tomorrow afternoon, not tomorrow morning.",我明朝下半日来，勿是明朝朝晨来。,31.m4a,
shanghainese-032,sentence,4,"Time, schedules, and numbers",32,3.499,True,Please wait for me for ten minutes.,请等我十分钟。,32.m4a,Recorder asked to pronounce this naturally in Shanghainese even though the written characters are similar to Mandarin.
shanghainese-033,sentence,4,"Time, schedules, and numbers",33,4.523,False,"I want three, not thirteen.",我要三个，勿是十三个。,33.m4a,
